Search Key,Name,Description,Account Type,Account Sign,Document Controlled,Summary Level,Default Account,Parent_Value,Element Level,Operands,Show Value Condition,Title Node
E060601,Depreciation Expense Default A/C,Depreciation Expense Default A/C,Expense,Debit,true,false,A_DEPRECIATION_ACCT,E0606,S,,Algebraic,false
E07,Other Expenses,Other Expenses,Expense,Debit,false,true,,E,D,,Algebraic,false
E0701,Telephone & Internet,Telephone & Internet,Expense,Debit,false,true,,E07,C,,Algebraic,false
E0702,Traveling & Conveyance Expenses,Traveling & Conveyance Expenses,Expense,Debit,false,true,,E07,C,,Algebraic,false
E0703,Repairs & Maintenance,Repairs & Maintenance,Expense,Debit,false,true,,E07,C,,Algebraic,false
E0704,Insurance,Insurance,Expense,Debit,false,true,,E07,C,,Algebraic,false
E0705,Audit Fees,Audit Fees,Expense,Debit,false,true,,E07,C,,Algebraic,false
E0706,Rent,Rent,Expense,Debit,false,true,,E07,C,,Algebraic,false
E0707,Postage & Courier,Postage & Courier,Expense,Debit,false,true,,E07,C,,Algebraic,false
E0708,Security Charges,Security Charges,Expense,Debit,false,true,,E07,C,,Algebraic,false
E0709,Professional Fee,Professional Fee,Expense,Debit,false,true,,E07,C,,Algebraic,false
E0710,Freight Inward,Freight Inward,Expense,Debit,false,true,,E07,C,,Algebraic,false
E0711,Freight Outward,Freight Outward,Expense,Debit,false,true,,E07,C,,Algebraic,false
E0712,Debt and Recovery,Debt and Recovery,Expense,Debit,false,true,,E07,C,,Algebraic,false
E071201,Provision for Doubtful Debts,Provision for Doubtful Debts,Expense,Debit,true,false,WRITEOFF_ACCT,E0712,S,,Algebraic,false
E0713,Currency Balancing,Currency Balancing,Expense,Debit,false,true,,E07,C,,Algebraic,false
E071301,Currency Balancing,Currency Balancing,Expense,Debit,true,false,CURRENCYBALANCING_ACCT,E0713,S,,Algebraic,false
E0714,Inventory Loss,Inventory Loss,Expense,Debit,false,true,,E07,C,,Algebraic,false
E071401,Inventory Loss,Inventory Loss,Expense,Debit,true,false,W_DIFFERENCES_ACCT,E0714,S,,Algebraic,false
E0715,Bank Revaluation Loss,Bank Revaluation Loss,Expense,Debit,false,true,,E07,C,,Algebraic,false
E071501,Bank Revaluation Loss,Bank Revaluation Loss,Expense,Debit,true,false,B_REVALUATIONLOSS_ACCT,E0715,S,,Algebraic,false
E0716,Sales Promotion Expenses,Sales Promotion Expenses,Expense,Debit,false,true,,E07,C,,Algebraic,false
E0717,Sales Commission,Sales Commission,Expense,Debit,false,true,,E07,C,,Algebraic,false
E0718,Advertisement Expenses,Advertisement Expenses,Expense,Debit,false,true,,E07,C,,Algebraic,false
E0719,Preliminary Expenses,Preliminary Expenses,Expense,Debit,false,true,,E07,C,,Algebraic,false
E071901,Preliminary Expenses ? Written off,Preliminary Expenses ? Written off,Expense,Debit,true,false,,E0719,S,,Algebraic,false
E071902,Preincorporation Expenses - Written off,Preincorporation Expenses - Written off,Expense,Debit,true,false,,E0719,S,,Algebraic,false
TE,Total Expenses,Total Expenses,Expense,Debit,false,true,,,E,E01+E02+E03+E04+E05+E06+E07,Algebraic,false
V,"Profit Before Exceptional , Extra ordinary items and Tax","Profit Before Exceptional , Extra ordinary items and Tax",Expense,Debit,false,true,,PL,E,TR-TE,Algebraic,false
999,Temporary Accounts,Temporary Accounts,Expense,Debit,false,true,,,E,,Algebraic,false
999001,Cash book expenses,Cash book expenses,Expense,Debit,true,false,CB_EXPENSE_ACCT,999,S,,Algebraic,false
999002,Cash book receipts,Cash book receipts,Expense,Debit,true,false,CB_RECEIPT_ACCT,999,S,,Algebraic,false
999003,Charge Expenses,Charge Expenses,Expense,Debit,true,false,CH_EXPENSE_ACCT,999,S,,Algebraic,false
999004,Suspense Balancing,Suspense Balancing,Expense,Debit,true,false,SUSPENSEBALANCING_ACCT,999,S,,Algebraic,false
999005,Suspense Error,Suspense Error,Expense,Debit,true,false,SUSPENSEERROR_ACCT,999,S,,Algebraic,false
999006,Default Payments,Default Payments,Expense,Debit,true,false,,999,S,,Algebraic,false
999007,Petty Cash Differences,Petty Cash Differences,Expense,Debit,true,false,CB_DIFFERENCES_ACCT,999,S,,Algebraic,false
L0402020203,CST 5.5%,CST 5.5%,Liability,Credit,false,false,,,S,,Algebraic,false
L0402020705,194C-Work  contract Others,194C- Work contract Others,Liability,Credit,false,false,,,S,,Algebraic,false
